date,quarter,moq,consumption_growth,retail_cum_growth,visa_headline
2017-04-01,2017-04-01,1,1.3145365504362294,1.8026344661582039,101.849580486987
2017-05-01,2017-04-01,2,1.3145365504362294,1.9612210837084643,101.807938553708
2017-06-01,2017-04-01,3,1.3145365504362294,2.1623634393015623,101.939227929346
2017-07-01,2017-07-01,1,0.9616836307227761,0.2824730056038893,99.5616001534756
2017-08-01,2017-07-01,2,0.9616836307227761,0.13798220550236273,102.485759293185
2017-09-01,2017-07-01,3,0.9616836307227761,-0.15295197308046182,101.944815612698
2017-10-01,2017-10-01,1,0.5839371678020289,2.3721057571964854,107.868080589912
2017-11-01,2017-10-01,2,0.5839371678020289,1.3884543178973807,104.17144652141
2017-12-01,2017-10-01,3,0.5839371678020289,1.0253702544847698,101.071930332153
2018-01-01,2018-01-01,1,0.6670533168870785,-0.5929759131764634,103.155557415585
2018-02-01,2018-01-01,2,0.6670533168870785,-0.8659125957375502,102.226471863362
2018-03-01,2018-01-01,3,0.6670533168870785,-0.9168865860976649,102.784220745554
2018-04-01,2018-04-01,1,0.5609580348535648,-0.06381870278717727,98.5576413049474
2018-05-01,2018-04-01,2,0.5609580348535648,1.3320526178692393,103.324988447549
2018-06-01,2018-04-01,3,0.5609580348535648,1.6039333159677094,101.416515086418
2018-07-01,2018-07-01,1,0.5779213391120086,0.023714452356382587,102.153893932343
2018-08-01,2018-07-01,2,0.5779213391120086,0.16215557962608873,101.411922138702
2018-09-01,2018-07-01,3,0.5779213391120086,0.4255782801253716,102.138107126062
2018-10-01,2018-10-01,1,-0.010670466315421123,0.6241743092917806,98.9242425057821
2018-11-01,2018-10-01,2,-0.010670466315421123,0.1474276742805758,97.3585408082735
2018-12-01,2018-10-01,3,-0.010670466315421123,0.2661356717532426,98.4939146031244
2019-01-01,2019-01-01,1,0.5397585489184786,-0.47166208371524077,97.7451103908388
2019-02-01,2019-01-01,2,0.5397585489184786,-0.7733730522456517,98.555882655601
2019-03-01,2019-01-01,3,0.5397585489184786,-0.7059018229962244,99.0097789661528
2019-04-01,2019-04-01,1,0.24069751202091538,0.12243982178914425,101.985104210812
2019-05-01,2019-04-01,2,0.24069751202091538,0.25032853617101836,97.2663617140653
2019-06-01,2019-04-01,3,0.24069751202091538,0.32949774031219015,99.1600959642676
2019-07-01,2019-07-01,1,0.44345686167888143,0.9245474701135459,100.371769917054
2019-08-01,2019-07-01,2,0.44345686167888143,0.936048406161949,101.158612022334
2019-09-01,2019-07-01,3,0.44345686167888143,0.8836552530525399,100.344317797123
2019-10-01,2019-10-01,1,0.6784183080204675,-1.6523953081853393,98.729018375355
2019-11-01,2019-10-01,2,0.6784183080204675,-1.4091910926456008,98.7238786516702
2019-12-01,2019-10-01,3,0.6784183080204675,-0.5136422364654281,101.620111084602
2020-01-01,2020-01-01,1,-2.1527039687600835,-0.1591535577186387,101.839539508231
2020-02-01,2020-01-01,2,-2.1527039687600835,-0.040743310775970265,101.268298493226
2020-03-01,2020-01-01,3,-2.1527039687600835,-2.9628026304900024,82.7646725740892
2020-04-01,2020-04-01,1,-14.328945219246126,-26.90271408608711,58.5819965487584
2020-05-01,2020-04-01,2,-14.328945219246126,-19.256430947273117,73.7233757625509
2020-06-01,2020-04-01,3,-14.328945219246126,-10.651656202641268,88.132855679202
2020-07-01,2020-07-01,1,12.851176293246347,19.955063109897118,94.973870611179
